POINT_X,POINT_Y
125952.6927,247651.0796
130952.6927,247651.0796
135952.6927,247651.0796
140952.6927,247651.0796
-329047.3073,252651.0796
-229047.3073,252651.0796
-174047.3073,252651.0796
35952.69272,252651.0796
60952.69272,252651.0796
75952.69272,252651.0796
80952.69272,252651.0796
85952.69272,252651.0796
95952.69272,252651.0796
100952.6927,252651.0796
105952.6927,252651.0796
110952.6927,252651.0796
135952.6927,252651.0796
140952.6927,252651.0796
-179047.3073,257651.0796
-149047.3073,257651.0796
70952.69272,257651.0796
75952.69272,257651.0796
80952.69272,257651.0796
90952.69272,257651.0796
95952.69272,257651.0796
105952.6927,257651.0796
110952.6927,257651.0796
140952.6927,257651.0796
-269047.3073,262651.0796
-234047.3073,262651.0796
-229047.3073,262651.0796
-179047.3073,262651.0796
-149047.3073,262651.0796
-144047.3073,262651.0796
40952.69272,262651.0796
65952.69272,262651.0796
75952.69272,262651.0796
80952.69272,262651.0796
85952.69272,262651.0796
90952.69272,262651.0796
95952.69272,262651.0796
110952.6927,262651.0796
115952.6927,262651.0796
-334047.3073,267651.0796
-269047.3073,267651.0796
-229047.3073,267651.0796
-199047.3073,267651.0796
-154047.3073,267651.0796
-149047.3073,267651.0796
-144047.3073,267651.0796
65952.69272,267651.0796
70952.69272,267651.0796
85952.69272,267651.0796
95952.69272,267651.0796
110952.6927,267651.0796
-314047.3073,272651.0796
-284047.3073,272651.0796
-234047.3073,272651.0796
-189047.3073,272651.0796
-184047.3073,272651.0796
-159047.3073,272651.0796
-154047.3073,272651.0796
952.6927225,272651.0796
65952.69272,272651.0796
70952.69272,272651.0796
75952.69272,272651.0796
80952.69272,272651.0796
-304047.3073,277651.0796
-299047.3073,277651.0796
-284047.3073,277651.0796
-274047.3073,277651.0796
-199047.3073,277651.0796
-189047.3073,277651.0796
-159047.3073,277651.0796
952.6927225,277651.0796
25952.69272,277651.0796
65952.69272,277651.0796
75952.69272,277651.0796
-334047.3073,282651.0796
-329047.3073,282651.0796
-314047.3073,282651.0796
-309047.3073,282651.0796
-304047.3073,282651.0796
-299047.3073,282651.0796
-294047.3073,282651.0796
-289047.3073,282651.0796
-279047.3073,282651.0796
-199047.3073,282651.0796
-159047.3073,282651.0796
-129047.3073,282651.0796
-79047.30728,282651.0796
-69047.30728,282651.0796
5952.692722,282651.0796
65952.69272,282651.0796
75952.69272,282651.0796
85952.69272,282651.0796
90952.69272,282651.0796
95952.69272,282651.0796
120952.6927,282651.0796
-359047.3073,287651.0796
-329047.3073,287651.0796
-304047.3073,287651.0796
-289047.3073,287651.0796
-214047.3073,287651.0796
-209047.3073,287651.0796
-204047.3073,287651.0796
40952.69272,287651.0796
45952.69272,287651.0796
65952.69272,287651.0796
70952.69272,287651.0796
75952.69272,287651.0796
85952.69272,287651.0796
90952.69272,287651.0796
